Data as of,State,MMWR Week,End Week,Sex,Age Group,Total Deaths,COVID-19 Deaths
9/23/20,United States,23,6/6/20,All Sex,Under 1 year,385,1
9/23/20,United States,23,6/6/20,All Sex,1-4 years,75,2
9/23/20,United States,23,6/6/20,All Sex,5-14 years,127,0
9/23/20,United States,23,6/6/20,All Sex,15-24 years,758,6
9/23/20,United States,23,6/6/20,All Sex,25-34 years,1551,40
9/23/20,United States,23,6/6/20,All Sex,35-44 years,2040,103
9/23/20,United States,23,6/6/20,All Sex,45-54 years,3744,295
9/23/20,United States,23,6/6/20,All Sex,55-64 years,7832,579
9/23/20,United States,23,6/6/20,All Sex,65-74 years,11501,1063
9/23/20,United States,23,6/6/20,All Sex,75-84 years,13704,1258
9/23/20,United States,23,6/6/20,All Sex,85 years and over,16846,1632
9/23/20,United States,24,6/13/20,All Sex,Under 1 year,357,1
9/23/20,United States,24,6/13/20,All Sex,1-4 years,69,0
9/23/20,United States,24,6/13/20,All Sex,5-14 years,123,1
9/23/20,United States,24,6/13/20,All Sex,15-24 years,792,8
9/23/20,United States,24,6/13/20,All Sex,25-34 years,1452,50
9/23/20,United States,24,6/13/20,All Sex,35-44 years,1933,100
9/23/20,United States,24,6/13/20,All Sex,45-54 years,3598,255
9/23/20,United States,24,6/13/20,All Sex,55-64 years,7821,576
9/23/20,United States,24,6/13/20,All Sex,65-74 years,11440,860
9/23/20,United States,24,6/13/20,All Sex,75-84 years,13484,1055
9/23/20,United States,24,6/13/20,All Sex,85 years and over,16600,1279
9/23/20,United States,25,6/20/20,All Sex,Under 1 year,373,0
9/23/20,United States,25,6/20/20,All Sex,1-4 years,77,1
9/23/20,United States,25,6/20/20,All Sex,5-14 years,111,0
9/23/20,United States,25,6/20/20,All Sex,15-24 years,714,10
9/23/20,United States,25,6/20/20,All Sex,25-34 years,1518,32
9/23/20,United States,25,6/20/20,All Sex,35-44 years,1935,100
9/23/20,United States,25,6/20/20,All Sex,45-54 years,3590,234
9/23/20,United States,25,6/20/20,All Sex,55-64 years,7706,509
9/23/20,United States,25,6/20/20,All Sex,65-74 years,11459,758
9/23/20,United States,25,6/20/20,All Sex,75-84 years,13656,952
9/23/20,United States,25,6/20/20,All Sex,85 years and over,16391,1196
9/23/20,United States,26,6/27/20,All Sex,Under 1 year,327,2
9/23/20,United States,26,6/27/20,All Sex,1-4 years,48,2
9/23/20,United States,26,6/27/20,All Sex,5-14 years,114,0
9/23/20,United States,26,6/27/20,All Sex,15-24 years,795,12
9/23/20,United States,26,6/27/20,All Sex,25-34 years,1511,33
9/23/20,United States,26,6/27/20,All Sex,35-44 years,1991,87
9/23/20,United States,26,6/27/20,All Sex,45-54 years,3541,259
9/23/20,United States,26,6/27/20,All Sex,55-64 years,7798,531
9/23/20,United States,26,6/27/20,All Sex,65-74 years,11410,789
9/23/20,United States,26,6/27/20,All Sex,75-84 years,13736,943
9/23/20,United States,26,6/27/20,All Sex,85 years and over,16746,1097
9/23/20,United States,27,7/4/20,All Sex,Under 1 year,365,2
9/23/20,United States,27,7/4/20,All Sex,1-4 years,74,0
9/23/20,United States,27,7/4/20,All Sex,5-14 years,129,2
9/23/20,United States,27,7/4/20,All Sex,15-24 years,738,17
9/23/20,United States,27,7/4/20,All Sex,25-34 years,1518,66
9/23/20,United States,27,7/4/20,All Sex,35-44 years,2065,140
9/23/20,United States,27,7/4/20,All Sex,45-54 years,3717,313
9/23/20,United States,27,7/4/20,All Sex,55-64 years,8159,617
9/23/20,United States,27,7/4/20,All Sex,65-74 years,11708,957
9/23/20,United States,27,7/4/20,All Sex,75-84 years,13840,1068
9/23/20,United States,27,7/4/20,All Sex,85 years and over,16891,1252
9/23/20,United States,28,7/11/20,All Sex,Under 1 year,375,2
9/23/20,United States,28,7/11/20,All Sex,1-4 years,77,1
9/23/20,United States,28,7/11/20,All Sex,5-14 years,130,3
9/23/20,United States,28,7/11/20,All Sex,15-24 years,814,20
9/23/20,United States,28,7/11/20,All Sex,25-34 years,1466,70
9/23/20,United States,28,7/11/20,All Sex,35-44 years,2174,192
9/23/20,United States,28,7/11/20,All Sex,45-54 years,3796,353
9/23/20,United States,28,7/11/20,All Sex,55-64 years,8479,822
9/23/20,United States,28,7/11/20,All Sex,65-74 years,12382,1245
9/23/20,United States,28,7/11/20,All Sex,75-84 years,14211,1466
9/23/20,United States,28,7/11/20,All Sex,85 years and over,17125,1455
9/23/20,United States,29,7/18/20,All Sex,Under 1 year,286,1
9/23/20,United States,29,7/18/20,All Sex,1-4 years,72,0
9/23/20,United States,29,7/18/20,All Sex,5-14 years,114,1
9/23/20,United States,29,7/18/20,All Sex,15-24 years,753,21
9/23/20,United States,29,7/18/20,All Sex,25-34 years,1552,93
9/23/20,United States,29,7/18/20,All Sex,35-44 years,2209,186
9/23/20,United States,29,7/18/20,All Sex,45-54 years,3743,441
9/23/20,United States,29,7/18/20,All Sex,55-64 years,8340,999
9/23/20,United States,29,7/18/20,All Sex,65-74 years,12414,1578
9/23/20,United States,29,7/18/20,All Sex,75-84 years,14731,1802
9/23/20,United States,29,7/18/20,All Sex,85 years and over,17720,1868
9/23/20,United States,30,7/25/20,All Sex,Under 1 year,343,0
9/23/20,United States,30,7/25/20,All Sex,1-4 years,76,0
9/23/20,United States,30,7/25/20,All Sex,5-14 years,113,3
9/23/20,United States,30,7/25/20,All Sex,15-24 years,737,25
9/23/20,United States,30,7/25/20,All Sex,25-34 years,1522,75
9/23/20,United States,30,7/25/20,All Sex,35-44 years,2083,213
9/23/20,United States,30,7/25/20,All Sex,45-54 years,3741,498
9/23/20,United States,30,7/25/20,All Sex,55-64 years,8343,1101
9/23/20,United States,30,7/25/20,All Sex,65-74 years,12629,1869
9/23/20,United States,30,7/25/20,All Sex,75-84 years,15075,2108
9/23/20,United States,30,7/25/20,All Sex,85 years and over,17687,2054
9/23/20,United States,31,8/1/20,All Sex,Under 1 year,287,0
9/23/20,United States,31,8/1/20,All Sex,1-4 years,64,0
9/23/20,United States,31,8/1/20,All Sex,5-14 years,94,4
9/23/20,United States,31,8/1/20,All Sex,15-24 years,684,20
9/23/20,United States,31,8/1/20,All Sex,25-34 years,1379,55
9/23/20,United States,31,8/1/20,All Sex,35-44 years,2083,189
9/23/20,United States,31,8/1/20,All Sex,45-54 years,3619,482
9/23/20,United States,31,8/1/20,All Sex,55-64 years,8316,1121
9/23/20,United States,31,8/1/20,All Sex,65-74 years,12510,1861
9/23/20,United States,31,8/1/20,All Sex,75-84 years,14922,2121
