Data as of,End Week,Sex,Age Group,Total Deaths,COVID-19 Deaths
9/23/2020,2/1/2020,Female,Under 1 year,192,0
9/23/2020,2/1/2020,Female,1-4 years,28,0
9/23/2020,2/1/2020,Female,5-14 years,48,0
9/23/2020,2/1/2020,Female,15-24 years,147,0
9/23/2020,2/1/2020,Female,25-34 years,332,0
9/23/2020,2/1/2020,Female,35-44 years,596,0
9/23/2020,2/1/2020,Female,45-54 years,"1,290",0
9/23/2020,2/1/2020,Female,55-64 years,"2,978",0
9/23/2020,2/1/2020,Female,65-74 years,"4,937",0
9/23/2020,2/1/2020,Female,75-84 years,"6,758",0
9/23/2020,2/1/2020,Female,85 years and over,"11,199",0
9/23/2020,2/1/2020,Female,All ages,"28,505",0
9/23/2020,2/8/2020,Female,Under 1 year,194,0
9/23/2020,2/8/2020,Female,1-4 years,35,0
9/23/2020,2/8/2020,Female,5-14 years,43,0
9/23/2020,2/8/2020,Female,15-24 years,163,0
9/23/2020,2/8/2020,Female,25-34 years,368,0
9/23/2020,2/8/2020,Female,35-44 years,589,0
9/23/2020,2/8/2020,Female,45-54 years,"1,271",0
9/23/2020,2/8/2020,Female,55-64 years,"3,081",1
9/23/2020,2/8/2020,Female,65-74 years,"4,928",0
9/23/2020,2/8/2020,Female,75-84 years,"7,091",0
9/23/2020,2/8/2020,Female,85 years and over,"11,004",0
9/23/2020,2/8/2020,Female,All ages,"28,767",1
9/23/2020,2/15/2020,Female,Under 1 year,183,0
9/23/2020,2/15/2020,Female,1-4 years,40,0
9/23/2020,2/15/2020,Female,5-14 years,55,0
9/23/2020,2/15/2020,Female,15-24 years,161,0
9/23/2020,2/15/2020,Female,25-34 years,371,0
9/23/2020,2/15/2020,Female,35-44 years,572,0
9/23/2020,2/15/2020,Female,45-54 years,"1,192",0
9/23/2020,2/15/2020,Female,55-64 years,"3,048",0
9/23/2020,2/15/2020,Female,65-74 years,"4,988",0
9/23/2020,2/15/2020,Female,75-84 years,"6,906",0
9/23/2020,2/15/2020,Female,85 years and over,"11,018",0
9/23/2020,2/15/2020,Female,All ages,"28,534",0
9/23/2020,2/22/2020,Female,Under 1 year,154,0
9/23/2020,2/22/2020,Female,1-4 years,24,0
9/23/2020,2/22/2020,Female,5-14 years,38,0
9/23/2020,2/22/2020,Female,15-24 years,162,0
9/23/2020,2/22/2020,Female,25-34 years,369,0
9/23/2020,2/22/2020,Female,35-44 years,624,1
9/23/2020,2/22/2020,Female,45-54 years,"1,287",0
9/23/2020,2/22/2020,Female,55-64 years,"2,956",1
9/23/2020,2/22/2020,Female,65-74 years,"4,933",0
9/23/2020,2/22/2020,Female,75-84 years,"7,033",0
9/23/2020,2/22/2020,Female,85 years and over,"10,953",1
9/23/2020,2/22/2020,Female,All ages,"28,533",3
9/23/2020,2/29/2020,Female,Under 1 year,178,0
9/23/2020,2/29/2020,Female,1-4 years,41,0
9/23/2020,2/29/2020,Female,5-14 years,52,0
9/23/2020,2/29/2020,Female,15-24 years,159,0
9/23/2020,2/29/2020,Female,25-34 years,373,0
9/23/2020,2/29/2020,Female,35-44 years,590,1
9/23/2020,2/29/2020,Female,45-54 years,"1,246",0
9/23/2020,2/29/2020,Female,55-64 years,"2,984",0
9/23/2020,2/29/2020,Female,65-74 years,"4,980",1
9/23/2020,2/29/2020,Female,75-84 years,"6,971",1
9/23/2020,2/29/2020,Female,85 years and over,"11,059",1
9/23/2020,2/29/2020,Female,All ages,"28,633",4
9/23/2020,3/7/2020,Female,Under 1 year,166,0
9/23/2020,3/7/2020,Female,1-4 years,24,0
9/23/2020,3/7/2020,Female,5-14 years,38,0
9/23/2020,3/7/2020,Female,15-24 years,134,0
9/23/2020,3/7/2020,Female,25-34 years,402,0
9/23/2020,3/7/2020,Female,35-44 years,640,0
9/23/2020,3/7/2020,Female,45-54 years,"1,261",0
9/23/2020,3/7/2020,Female,55-64 years,"2,977",0
9/23/2020,3/7/2020,Female,65-74 years,"4,947",3
9/23/2020,3/7/2020,Female,75-84 years,"6,998",4
9/23/2020,3/7/2020,Female,85 years and over,"10,961",8
9/23/2020,3/7/2020,Female,All ages,"28,548",15
9/23/2020,3/14/2020,Female,Under 1 year,145,0
9/23/2020,3/14/2020,Female,1-4 years,22,0
9/23/2020,3/14/2020,Female,5-14 years,45,0
9/23/2020,3/14/2020,Female,15-24 years,153,0
9/23/2020,3/14/2020,Female,25-34 years,352,0
9/23/2020,3/14/2020,Female,35-44 years,612,0
9/23/2020,3/14/2020,Female,45-54 years,"1,204",1
9/23/2020,3/14/2020,Female,55-64 years,"3,043",2
9/23/2020,3/14/2020,Female,65-74 years,"4,951",9
9/23/2020,3/14/2020,Female,75-84 years,"6,809",8
9/23/2020,3/14/2020,Female,85 years and over,"10,852",10
9/23/2020,3/14/2020,Female,All ages,"28,188",30
9/23/2020,3/21/2020,Female,Under 1 year,156,0
9/23/2020,3/21/2020,Female,1-4 years,36,0
9/23/2020,3/21/2020,Female,5-14 years,45,0
9/23/2020,3/21/2020,Female,15-24 years,165,1
9/23/2020,3/21/2020,Female,25-34 years,385,1
9/23/2020,3/21/2020,Female,35-44 years,635,9
9/23/2020,3/21/2020,Female,45-54 years,"1,230",8
9/23/2020,3/21/2020,Female,55-64 years,"3,015",14
9/23/2020,3/21/2020,Female,65-74 years,"5,040",54
9/23/2020,3/21/2020,Female,75-84 years,"7,055",65
9/23/2020,3/21/2020,Female,85 years and over,"10,781",63
9/23/2020,3/21/2020,Female,All ages,"28,543",215
9/23/2020,3/28/2020,Female,Under 1 year,176,1
9/23/2020,3/28/2020,Female,1-4 years,30,0
9/23/2020,3/28/2020,Female,5-14 years,32,0
9/23/2020,3/28/2020,Female,15-24 years,141,1
9/23/2020,3/28/2020,Female,25-34 years,418,15
9/23/2020,3/28/2020,Female,35-44 years,647,35
9/23/2020,3/28/2020,Female,45-54 years,"1,276",70
9/23/2020,3/28/2020,Female,55-64 years,"3,163",157
9/23/2020,3/28/2020,Female,65-74 years,"5,057",254
9/23/2020,3/28/2020,Female,75-84 years,"7,373",337
9/23/2020,3/28/2020,Female,85 years and over,"11,855",374
9/23/2020,3/28/2020,Female,All ages,"30,168","1,244"
9/23/2020,4/4/2020,Female,Under 1 year,146,0
9/23/2020,4/4/2020,Female,1-4 years,29,0
9/23/2020,4/4/2020,Female,5-14 years,40,0
9/23/2020,4/4/2020,Female,15-24 years,176,4
9/23/2020,4/4/2020,Female,25-34 years,450,36
9/23/2020,4/4/2020,Female,35-44 years,705,71
9/23/2020,4/4/2020,Female,45-54 years,"1,417",179
9/23/2020,4/4/2020,Female,55-64 years,"3,555",481
9/23/2020,4/4/2020,Female,65-74 years,"5,887",864
9/23/2020,4/4/2020,Female,75-84 years,"8,353","1,068"
9/23/2020,4/4/2020,Female,85 years and over,"13,209","1,287"
9/23/2020,4/4/2020,Female,All ages,"33,967","3,990"
9/23/2020,4/11/2020,Female,Under 1 year,163,1
9/23/2020,4/11/2020,Female,1-4 years,29,1
9/23/2020,4/11/2020,Female,5-14 years,38,0
9/23/2020,4/11/2020,Female,15-24 years,180,8
9/23/2020,4/11/2020,Female,25-34 years,383,35
9/23/2020,4/11/2020,Female,35-44 years,726,84
9/23/2020,4/11/2020,Female,45-54 years,"1,534",236
9/23/2020,4/11/2020,Female,55-64 years,"3,798",724
9/23/2020,4/11/2020,Female,65-74 years,"6,491","1,345"
9/23/2020,4/11/2020,Female,75-84 years,"9,207","1,879"
9/23/2020,4/11/2020,Female,85 years and over,"14,795","2,654"
9/23/2020,4/11/2020,Female,All ages,"37,344","6,967"
9/23/2020,4/18/2020,Female,Under 1 year,152,0
9/23/2020,4/18/2020,Female,1-4 years,17,0
9/23/2020,4/18/2020,Female,5-14 years,34,0
9/23/2020,4/18/2020,Female,15-24 years,171,5
9/23/2020,4/18/2020,Female,25-34 years,409,29
9/23/2020,4/18/2020,Female,35-44 years,680,88
9/23/2020,4/18/2020,Female,45-54 years,"1,483",247
9/23/2020,4/18/2020,Female,55-64 years,"3,573",672
9/23/2020,4/18/2020,Female,65-74 years,"6,024","1,272"
