Data as of,State,MMWR Week,End Week,Sex,Age Group,Total Deaths,COVID-19 Deaths
9/23/2020,United States,23,6/6/2020,Female,All ages,"27,670","2,447"
9/23/2020,United States,23,6/6/2020,Male,All ages,"30,893","2,532"
9/23/2020,United States,24,6/13/2020,Female,All ages,"27,365","2,006"
9/23/2020,United States,24,6/13/2020,Male,All ages,"30,304","2,179"
9/23/2020,United States,25,6/20/2020,Female,All ages,"27,163","1,829"
9/23/2020,United States,25,6/20/2020,Male,All ages,"30,367","1,963"
9/23/2020,United States,26,6/27/2020,Female,All ages,"27,512","1,772"
9/23/2020,United States,26,6/27/2020,Male,All ages,"30,505","1,983"
9/23/2020,United States,27,7/4/2020,Female,All ages,"28,027","1,989"
9/23/2020,United States,27,7/4/2020,Male,All ages,"31,177","2,445"
9/23/2020,United States,28,7/11/2020,Female,All ages,"28,669","2,465"
9/23/2020,United States,28,7/11/2020,Male,All ages,"32,360","3,164"
9/23/2020,United States,29,7/18/2020,Female,All ages,"29,112","3,065"
9/23/2020,United States,29,7/18/2020,Male,All ages,"32,822","3,925"
9/23/2020,United States,30,7/25/2020,Female,All ages,"29,341","3,563"
9/23/2020,United States,30,7/25/2020,Male,All ages,"33,008","4,383"
9/23/2020,United States,31,8/1/2020,Female,All ages,"28,881","3,456"
9/23/2020,United States,31,8/1/2020,Male,All ages,"32,500","4,468"
9/23/2020,United States,32,8/8/2020,Female,All ages,"28,729","3,291"
9/23/2020,United States,32,8/8/2020,Male,All ages,"32,219","4,106"
9/23/2020,United States,33,8/15/2020,Female,All ages,"28,372","3,006"
9/23/2020,United States,33,8/15/2020,Male,All ages,"31,187","3,660"
9/23/2020,United States,34,8/22/2020,Female,All ages,"27,016","2,613"
9/23/2020,United States,34,8/22/2020,Male,All ages,"29,485","2,988"
9/23/2020,United States,35,8/29/2020,Female,All ages,"25,509","2,179"
9/23/2020,United States,35,8/29/2020,Male,All ages,"27,301","2,520"
9/23/2020,United States,36,9/5/2020,Female,All ages,"22,881","1,570"
9/23/2020,United States,36,9/5/2020,Male,All ages,"24,278","1,777"
9/23/2020,United States,37,9/12/2020,Female,All ages,"17,707",792
9/23/2020,United States,37,9/12/2020,Male,All ages,"18,714",867
9/23/2020,United States,38,9/19/2020,Female,All ages,"7,701",120
9/23/2020,United States,38,9/19/2020,Male,All ages,"7,787",160

