Date,State,Deaths_White,Deaths_Black,Deaths_LatinX,Deaths_Asian,Deaths_AIAN,Deaths_NHPI,Deaths_Multiracial,"Populations (White, Black, LatinX, Asian, AIAN, NHPI, Multiracial)",,,,,,,,,,,
20200603,AK,5,0,0,2,2,1,0,"160,626,928",,,,,,,,,,,0
20200603,AL,330,286,0,3,0,0,0,"31,140,331",,,,,,,,,,,0
20200603,AR,80,46,0,1,0,3,0,"41,884,672",,,,,,,,,,,0
20200603,AS,0,0,0,0,0,0,0,"15,221,807",,,,,,,,,,,0
20200603,AZ,465,29,159,12,183,0,0,"1,818,958",,,,,,,,,,,0
20200603,CA,1395,414,1631,613,14,31,26,"448,851",,,,,,,,,,,0
20200603,CO,935,102,292,53,8,5,10,"4,058,826",,,,,,,,,,,0
20200603,CT,2908,592,339,41,0,0,0,0,,,,,,,,,,,0
20200603,DC,52,356,54,7,0,0,0,0,,,,,,,,,,,0
20200603,DE,226,99,24,1,0,0,0,0,,,,,,,,,,,0
20200603,FL,1290,534,578,0,0,0,0,0,,,,,,,,,,,0
20200603,GA,948,1033,88,31,3,4,0,0,,,,,,,,,,,0
20200603,GU,0,0,0,0,0,0,0,0,,,,,,,,,,,0
20200603,HI,0,0,0,0,0,0,0,0,,,,,,,,,,,0
20200603,IA,453,28,0,28,0,0,0,0,,,,,,,,,,,0
20200603,ID,80,1,0,2,0,0,0,0,,,,,,,,,,,0
20200603,IL,2441,1646,1094,266,8,5,0,0,,,,,,,,,,,0
20200603,IN,1324,314,0,8,0,0,0,0,,,,,,,,,,,0
20200603,KS,148,61,0,5,1,0,0,0,,,,,,,,,,,0
20200603,KY,321,69,0,7,0,0,8,0,,,,,,,,,,,0
20200603,LA,1217,1510,0,21,1,2,0,0,,,,,,,,,,,0
20200603,MA,2989,350,464,128,0,0,0,0,,,,,,,,,,,0
20200603,MD,1118,1085,245,104,0,0,0,0,,,,,,,,,,,0
20200603,ME,0,0,0,0,0,0,0,0,,,,,,,,,,,0
20200603,MI,2840,2228,0,55,27,0,111,0,,,,,,,,,,,0
20200603,MN,665,66,0,30,13,1,6,0,,,,,,,,,,,0
20200603,MO,452,276,0,0,0,0,6,0,,,,,,,,,,,0
20200603,MP,0,0,0,0,0,0,0,0,,,,,,,,,,,0
20200603,MS,333,401,10,0,33,0,0,0,,,,,,,,,,,0
20200603,MT,0,0,0,0,0,0,0,0,,,,,,,,,,,0
20200603,NC,523,303,0,12,6,3,0,0,,,,,,,,,,,0
20200603,ND,0,0,0,0,0,0,0,0,,,,,,,,,,,0
20200603,NE,0,0,0,0,0,0,0,0,,,,,,,,,,,0
20200603,NH,147,4,8,2,0,0,0,0,,,,,,,,,,,0
20200603,NJ,6092,2114,2229,617,0,0,0,0,,,,,,,,,,,0
20200603,NM,0,0,0,0,0,0,0,0,,,,,,,,,,,0
20200603,NV,198,52,66,63,3,0,0,0,,,,,,,,,,,0
20200603,NY,7814,5750,6015,1573,0,0,0,0,,,,,,,,,,,0
20200603,OH,1807,392,0,20,0,0,26,0,,,,,,,,,,,0
20200603,OK,264,27,0,2,23,0,0,0,,,,,,,,,,,0
20200603,OR,114,6,0,7,3,1,2,0,,,,,,,,,,,0
20200603,PA,3958,1116,0,133,0,0,0,0,,,,,,,,,,,0
20200603,PR,0,0,0,0,0,0,0,0,,,,,,,,,,,0
20200603,RI,507,37,69,0,0,0,0,0,,,,,,,,,,,0
20200603,SC,244,204,0,4,0,0,0,0,,,,,,,,,,,0
20200603,SD,0,0,0,0,0,0,0,0,,,,,,,,,,,0
20200603,TN,214,131,0,7,0,0,0,0,,,,,,,,,,,0
20200603,TX,183,67,123,6,0,0,0,0,,,,,,,,,,,0
20200603,UT,0,0,0,0,0,0,0,0,,,,,,,,,,,0
